순위,노래제목,가수
1,Ditto,NewJeans
2,OMG,NewJeans
3,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
4,Hype boy,NewJeans
5,사건의 지평선,윤하 (YOUNHA)
6,사랑은 늘 도망가,임영웅
7,VIBE (feat. Jimin of BTS),태양
8,Teddy Bear,STAYC(스테이씨)
9,Attention,NewJeans
10,ANTIFRAGILE,LE SSERAFIM (르세라핌)
11,우리들의 블루스,임영웅
12,I Don't Think That I Like Her,Charlie Puth
13,After LIKE,IVE (아이브)
14,다시 만날 수 있을까,임영웅
15,Sugar Rush Ride,투모로우바이투게더
16,London Boy,임영웅
17,Polaroid,임영웅
18,무지개,임영웅
19,Candy,NCT DREAM
20,사랑하기 싫어,지아
21,아버지,임영웅
22,LOVE DIVE,IVE (아이브)
23,이제 나만 믿어요,임영웅
24,A bientot,임영웅
25,손이 참 곱던 그대,임영웅
26,인생찬가,임영웅
27,사랑인가 봐,멜로망스
28,사랑해 진짜,임영웅
29,Nxde,(여자)아이들
30,연애편지,임영웅
31,너의 모든 순간,성시경
32,Monologue,테이
33,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
34,심(心),DK(디셈버)
35,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
36,Poppy (Korean Ver.),STAYC(스테이씨)
37,Cookie,NewJeans
38,네가 보고 싶은 건 자연스러운 거겠지,신예영
39,해요 (2022),#안녕
40,보금자리,임영웅
41,혼자서 걸어요 (Prod. by 나얼),태연 (TAEYEON)
42,Unholy,"Sam Smith, Kim Petras"
43,Rush Hour (Feat. j-hope of BTS),Crush
44,이젠 안녕,투모로우바이투게더
45,마지막 사랑,신예영
46,That's Hilarious,Charlie Puth
47,7시에 들어줘 (Feat. Peder Elias),부석순 (SEVENTEEN)
48,취중고백,김민석 (멜로망스)
49,Shut Down,BLACKPINK
50,Dangerously,Charlie Puth
51,Say I Love You,우디 (Woody)
52,STAY,"The Kid LAROI, Justin Bieber"
53,Pink Venom,BLACKPINK
54,그대를 알고,송하예
55,내가 아니라도,주호
56,TOMBOY,(여자)아이들
57,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단"
58,FEARLESS,LE SSERAFIM (르세라핌)
59,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
60,그댄 행복에 살텐데 (2022),최유리
61,Devil by the Window,투모로우바이투게더
62,Dynamite,방탄소년단
63,너와 함께,김민석 (멜로망스)
64,그라데이션,10CM
65,잘가요,주호
66,다정히 내 이름을 부르면,"경서예지, 전건호"
67,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
68,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
69,오르트구름,윤하 (YOUNHA)
70,ELEVEN,IVE (아이브)
71,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
72,네버랜드를 떠나며,투모로우바이투게더
73,봄날,방탄소년단
74,나의 X에게,경서
75,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), R.Tee, 던말릭 (DON MALIK), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), 로스 (Los)"
76,그중에 그대를 만나,김호중
77,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
78,딱 10CM만,"10CM, BIG Naughty (서동현)"
79,걸음을 멈추는 날,나얼
80,Butter,방탄소년단
81,니 번호가 뜨는 일,이예준
82,자격지심 (Feat. ZICO),BE'O (비오)
83,Tinnitus (돌멩이가 되고 싶어),투모로우바이투게더
84,Happy Fools (feat. Coi Leray),투모로우바이투게더
85,당신을 만나,"김호중, 송가인"
86,Ay-Yo,NCT 127
87,떠나보낼 준비해 둘걸 그랬어,임한별
88,NIGHT DANCER,imase
89,Off My Face,Justin Bieber
90,밤하늘의 별을(2020),경서
91,나의 목소리로,김호중
92,WHEN I MOVE,카라
93,보고싶었어,WSG워너비(4FIRE)
94,LOVE me,BE'O (비오)
95,HOT,세븐틴
96,첫사랑,백아
97,ROAR,더보이즈 (THE BOYZ)
98,LUNCH,부석순 (SEVENTEEN)
99,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
100,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현)
