,메뉴,가격
0,치즈버터 해시 포테이토 스틱,"2,200"
1,허니버터 해시 포테이토 스틱,"2,200"
2,새후마요,"4,500"
3,숯불직화구이 두부강된장,"8,200"
4,해시 포테이토 스틱,"2,000"
5,통현미 닭강정(소),"3,500"
6,통현미 닭강정(중),"8,500"
7,해바라기,"10,000"
8,매화,"10,500"
9,진달래,"7,800"
10,개나리,"8,500"
11,돈까스도련님고기고기,"6,300"
12,탕수육도련님고기고기,"6,000"
13,새치 고기고기,"7,000"
14,돈치 고기고기,"6,000"
15,숯불직화구이,"6,600"
16,소불고기,"5,500"
17,메가치킨제육,"7,500"
18,칠리 찹쌀탕수육도련님,"4,400"
19,동백,"6,000"
20,치킨제육,"4,900"
21,돈까스도련님,"4,800"
22,제육볶음,"4,500"
23,돈치스팸 도시락,"5,000"
24,제육 김치찌개 정식,"8,600"
25,제육 김치 부대찌개 정식,"8,900"
26,돈치스팸 김치 부대찌개 정식,"8,700"
27,빅치킨마요 김치 부대찌개 정식,"7,800"
28,치킨마요 김치 부대찌개 정식,"7,200"
29,빅치킨마요 김치찌개 정식,"7,500"
30,치킨마요 김치찌개 정식,"6,900"
31,메가스팸마요,"5,800"
32,스팸마요,"3,900"
33,메가치킨마요,"6,000"
34,왕치킨마요,"5,000"
35,빅치킨마요,"4,300"
36,치킨마요,"3,700"
37,참치마요,"3,500"
38,돈치마요,"4,000"
39,돈까스 카레,"4,700"
40,스팸 김치볶음밥,"4,700"
41,김치볶음밥,"3,900"
42,스팸철판볶음밥,"4,700"
43,소불고기 철판볶음밥,"4,900"
44,나시고랭,"6,200"
45,묵은지 김치찌개,"4,900"
46,김치 부대찌개,"5,900"
47,숯불직화구이 덮밥,"6,000"
48,마파두부 덮밥,"5,000"
49,왕카레돈까스덮밥,"6,000"
50,새우돈까스 덮밥,"4,200"
51,돈까스 덮밥,"4,100"
52,소불고기 감초고추장 비빔밥,"5,400"
53,시골제육 두부강된장 비빔밥,"5,200"
54,참치야채 감초고추장,"3,500"
55,튼튼도시락,"5,000"
56,토네이도 소세지 파스타,"5,800"
57,트리플 치즈 파스타,"5,900"
58,토마토 미트 파스타,"4,800"
59,반찬 묵은지김치찌개,"4,400"
60,반찬 카레,"2,900"
61,반찬 순살 고등어 간장구이,"3,900"
62,반찬 김치 부대찌개,"4,700"
63,반찬 치킨,"3,800"
64,반찬 고기고기,"3,600"
65,반찬 돈까스 도련님,"4,100"
66,반찬 제육볶음,"3,500"
67,반찬 토네이도 소세지,"2,800"
68,반찬 반달돈까스,"2,900"
69,뉴 감자고로케,"2,700"
70,미니 찹쌀핫도그,"2,500"
71,미니 찹쌀탕수육,"2,200"
72,케이준후라이,"1,900"
73,후라이드 순살(중),"7,500"
74,후라이드 순살(소)_양념치킨소스,"4,000"
75,후라이드 순살(소)_케이준소스,"4,000"
76,오리지널 닭강정(중),"8,500"
77,오리지널 닭강정(소),"3,500"
78,오징어젓갈,600
79,한솥 두부강된장소스,"1,800"
80,한솥 감초볶음고추장소스,500
81,볶음김치,500
82,김치,400
83,무말랭이 무침,500
84,한솥밥,"1,000"
85,현미밥,"1,700"
86,리얼 티라미수 찰떡,"1,700"
87,리얼꿀 미니호떡,"2,200"
